renda_mensal,score_credito,estado_civil,tempo_emprego_anos,patrimonio,dividas_pendentes,risco
8470,505,casado,0,73125,19317,1
2060,450,solteiro,12,25078,7659,1
6590,480,casado,17,47302,11655,0
14618,532,solteiro,12,228795,31240,1
6391,684,divorciado,17,95882,8680,0
13164,787,divorciado,4,107506,27141,0
12484,537,solteiro,12,224100,36984,1
6934,583,divorciado,3,76409,34413,1
7465,800,casado,16,70079,26044,0
1666,729,solteiro,2,12136,2326,0
14726,672,divorciado,16,132423,10342,0
5626,739,solteiro,10,29988,6011,0
6778,871,casado,19,93189,20547,0
12836,468,casado,3,226343,50615,1
12563,433,divorciado,1,166267,59446,1
12311,661,casado,19,102047,7032,0
9522,452,solteiro,15,52418,27160,1
2885,849,casado,17,23713,7555,1
1969,604,solteiro,7,22135,6797,0
11783,525,solteiro,2,193172,35562,1
8149,634,casado,8,63705,29268,0
3633,442,divorciado,19,57390,12575,1
6511,639,casado,5,117224,6683,0
6251,858,solteiro,9,73819,25621,1
7620,770,solteiro,9,131989,8035,0
2384,510,casado,12,31754,8685,1
5755,648,divorciado,16,83771,13654,1
4585,550,divorciado,8,59119,12894,1
13509,582,solteiro,16,161400,61666,1
7596,735,solteiro,8,64716,34216,0
14235,494,divorciado,8,135914,59507,1
12296,858,casado,0,114962,34375,0
9866,773,solteiro,1,132691,37619,0
10474,799,solteiro,15,71215,29411,0
3758,407,divorciado,0,70469,16584,1
9049,787,casado,9,143063,20925,0
3247,759,divorciado,17,35787,15800,1
3947,787,casado,7,29126,18532,0
10367,583,casado,10,188989,39780,1
11198,680,casado,1,194360,19679,0
1389,594,solteiro,7,21982,1517,1
3934,751,divorciado,7,35693,17097,0
4205,594,divorciado,16,46409,5230,0
5858,554,casado,14,38318,25448,1
3099,492,solteiro,16,24282,8393,1
8934,559,solteiro,12,149602,20811,1
2467,833,divorciado,18,38795,11260,0
2728,460,solteiro,4,37925,8776,1
12594,521,solteiro,11,232181,38975,0
4756,450,casado,0,65390,14336,1
5090,802,solteiro,4,61103,11046,0
10038,676,casado,7,101439,40507,0
12280,404,divorciado,12,234630,20109,0
6593,865,solteiro,7,41145,31152,0
11827,491,divorciado,10,224279,53492,0
9992,569,divorciado,0,173867,20170,1
11755,716,solteiro,12,81684,44464,0
11453,421,solteiro,18,154326,35269,0
9633,804,divorciado,2,173376,19453,0
11433,725,solteiro,16,155227,56574,0
12216,400,casado,4,227315,7495,1
8713,532,casado,19,166808,14262,1
3812,632,solteiro,7,43211,10827,0
8241,411,divorciado,13,87846,23476,1
10755,745,solteiro,3,204827,33880,0
7435,445,solteiro,10,112469,28866,1
6686,433,divorciado,19,45065,22101,1
8299,832,divorciado,14,46759,26567,0
10870,477,casado,18,146412,8052,1
11948,617,divorciado,6,226445,26218,1
1975,700,casado,18,34885,3049,1
13406,810,divorciado,18,202936,22711,0
9426,472,solteiro,10,66799,28226,1
4352,681,casado,4,38356,6083,0
11347,648,casado,4,205751,20682,0
2785,446,casado,7,21561,4363,0
5143,520,solteiro,9,47195,24523,1
8755,613,solteiro,5,60794,41594,1
4273,638,solteiro,14,64700,13864,1
2221,455,solteiro,15,42553,10350,1
12853,749,solteiro,16,116120,51876,0
12005,506,casado,7,145633,37872,0
14617,718,solteiro,7,212167,7731,0
5043,447,casado,8,100819,20052,1
9189,460,solteiro,1,60391,33642,1
10892,736,divorciado,14,135916,35602,0
14190,425,casado,17,152922,55651,1
8073,691,divorciado,2,145211,22670,1
6875,656,casado,16,83459,25220,1
1361,407,divorciado,3,9070,6407,1
5497,512,solteiro,3,79796,12044,1
11373,754,solteiro,13,188356,41927,0
2195,652,solteiro,8,11069,5796,1
14303,579,casado,8,255799,50558,0
12734,606,divorciado,17,99202,50083,0
13943,702,solteiro,9,185177,9823,0
8829,526,divorciado,3,99211,30104,1
13190,455,divorciado,11,208333,20053,0
10667,613,solteiro,7,112722,37496,0
2216,413,solteiro,1,39990,5778,1
9069,873,divorciado,12,144718,36103,0
7639,427,solteiro,15,112413,8061,0
9092,870,solteiro,1,154051,30171,0
8063,477,solteiro,10,131510,14135,0
9116,615,casado,9,50494,39549,1
9729,785,divorciado,14,106250,45509,0
2078,764,divorciado,16,39403,10356,0
10468,553,casado,7,72081,42730,1
6087,413,divorciado,17,97735,23689,1
13385,586,solteiro,8,262598,19672,1
6059,711,divorciado,7,35039,12190,0
7531,770,solteiro,13,114719,19547,0
9771,406,casado,17,117470,38890,1
9884,402,solteiro,19,135288,45637,1
8408,510,divorciado,19,52803,11360,1
6476,806,divorciado,11,36557,30117,0
3262,637,divorciado,18,48939,11842,1
13276,762,casado,13,230333,43126,0
1264,638,casado,16,21147,1768,1
9206,892,divorciado,2,121124,6903,0
3768,673,solteiro,6,24484,11522,1
6663,693,casado,16,102081,22866,0
14640,626,divorciado,11,126318,21206,0
3227,770,divorciado,8,60235,9694,0
3895,414,casado,14,68450,16959,1
10887,591,casado,17,170280,46354,1
6458,872,casado,12,124204,30178,0
6818,518,solteiro,7,37303,14634,1
7936,884,solteiro,13,127317,15326,0
1591,427,divorciado,7,15836,6161,1
13906,601,casado,13,258526,33930,0
13866,438,solteiro,6,124795,12395,1
7092,840,casado,11,112570,12571,0
4761,672,divorciado,10,86482,11348,0
11670,630,solteiro,10,65642,21196,0
7384,485,solteiro,12,80963,14730,1
4299,873,solteiro,17,70652,7832,0
7478,525,divorciado,1,88418,5135,0
9592,699,casado,14,86412,32295,1
14267,424,solteiro,19,118374,45480,0
4304,544,divorciado,17,30010,14806,1
8415,412,casado,14,150266,11489,0
13990,611,divorciado,18,190688,25607,0
3654,424,casado,11,22456,12015,1
13037,467,divorciado,12,140000,41696,1
10196,793,casado,10,107221,28329,0
3931,466,solteiro,4,30371,8164,1
12165,632,casado,0,140294,56058,1
9354,508,divorciado,2,93366,18978,1
10962,545,divorciado,18,111012,27956,1
6256,510,casado,6,100630,22218,1
9310,627,solteiro,11,77728,27404,0
14973,510,solteiro,14,219023,30859,1
12082,869,casado,4,163828,29726,0
5040,433,casado,14,68147,20538,1
2228,510,divorciado,7,33297,3902,0
8585,663,solteiro,9,113542,9788,0
1702,823,casado,15,30957,3249,0
8110,768,solteiro,7,122734,35058,0
13885,635,casado,0,183343,12502,0
10262,482,casado,11,179035,50926,1
8138,441,solteiro,4,114682,23881,1
5688,824,casado,2,53280,28052,1
1406,500,casado,0,11397,6644,1
6334,405,divorciado,3,46142,16073,1
7177,579,casado,7,132715,9999,0
8921,681,casado,2,139631,11079,0
8235,719,casado,9,156964,13010,0
2684,625,divorciado,1,37708,9918,1
9058,842,solteiro,10,109610,15654,0
2063,839,divorciado,9,12162,4201,0
3990,714,divorciado,13,60147,10052,1
8608,764,solteiro,6,118214,39678,0
9955,853,divorciado,1,197637,13461,0
6316,628,solteiro,8,54237,3300,0
13583,776,divorciado,15,176050,10464,0
7219,688,solteiro,12,106583,33001,0
2957,836,casado,8,43375,10094,1
8774,549,divorciado,19,117741,15167,0
7574,676,divorciado,3,126136,9826,0
8092,597,divorciado,9,65340,14761,0
2878,469,divorciado,11,45715,2925,1
4442,511,casado,16,63502,21041,1
5836,403,divorciado,13,107622,23512,0
2259,749,casado,13,40002,5829,0
7868,730,casado,1,76533,34558,0
14671,845,casado,19,134145,23804,0
11114,717,casado,10,219221,41422,0
12706,749,solteiro,15,164021,55304,0
4357,494,solteiro,18,81024,9173,1
7115,551,divorciado,5,53065,27809,1
12017,710,solteiro,18,175956,21964,0
12121,536,solteiro,4,207849,22361,1
10989,646,divorciado,3,211108,10788,0
12452,786,divorciado,14,125268,30884,0
3893,642,divorciado,3,61800,14729,1
14283,430,solteiro,19,186852,67572,1
14539,439,solteiro,9,85917,46773,1
4827,628,divorciado,2,74094,21162,1
10755,435,casado,4,165104,45184,1
11373,807,divorciado,5,215621,14557,0
6650,622,casado,7,82856,17863,0
2863,405,casado,6,24203,2937,1
10921,721,divorciado,9,61905,38984,0
11430,867,divorciado,5,128411,54573,0
6792,619,divorciado,13,64719,7586,0
12694,474,solteiro,3,208388,48268,1
11629,403,casado,12,119941,38899,1
8592,734,solteiro,19,165276,26860,0
14896,533,solteiro,16,289498,33598,1
14888,517,divorciado,6,213101,31236,1
2506,768,solteiro,3,47438,1763,0
13421,493,divorciado,13,220276,19870,0
7976,885,casado,2,105306,4532,0
12067,834,divorciado,4,92971,37605,1
14460,461,solteiro,15,171769,14117,0
7064,840,solteiro,19,94750,31283,0
10674,593,divorciado,3,191698,30465,1
8726,734,divorciado,1,106631,31837,1
10101,602,solteiro,17,186516,23725,0
6775,791,casado,18,102405,20478,0
6730,425,casado,18,47480,31913,1
